event_id,event_time,location,rock_type,depth,compressive_strength,tensile_strength,tangential_stress,brittleness_ratio,elastic_strain_energy,density,signal_energy,event_duration,dominant_frequency,signal_rms,seismic_event_rate,peak_ground_acceleration,gutenberg_richter_b,cumulative_seismic_energy,axial_stress,radial_stress,strain_rate,intensity_label,seismic_pulses,total_seismic_energy,rockburst_grade
RB01756,9/2/2025 8:19,Dir Valley Route,Chalk,697,124,12,82.1,3.36,3.09,2.74,0.4,1.79,7.2,0.06,14.4,0.78,1.15,333.3,96.3,78,0.0042,II,255,71840,2
RB02516,6/3/2025 14:33,Buner Basin Tunnel,Quartzite,774,105.7,9.8,90,2.7,2.87,2.59,0.49,0.99,6.07,0.063,15.5,0.88,0.92,376.3,95.4,82.6,0.0046,III,351,127360,2
RB03586,10/1/2025 3:27,Attock Rock Shaft,Chalk,709,109.3,8.9,92.4,3.23,2.64,2.71,0.53,1.45,6.29,0.081,16.1,0.89,1.16,395.9,99.2,78.4,0.0046,III,1369,514800,2
RB04316,9/24/2025 9:31,Reko Diq Zone 3,Sandstone,899,99.1,8.6,106.3,2.89,2.67,2.63,0.55,1.4,7.17,0.082,19.6,0.92,1.26,415.3,105.5,84.5,0.005,IV,266,69440,3
RB04967,2/27/2025 1:28,Dir Valley Route,Migmatite,870,95.6,8.6,104.6,3.08,2.56,2.68,0.57,1.85,6.76,0.08,19.6,0.94,1.1,414.6,113.9,89.6,0.0049,IV,117,28460,1
RB02100,9/1/2025 1:46,Attock Rock Shaft,Gneiss,683,118.7,9.7,86.5,3.77,2.41,2.78,0.44,1.27,6.44,0.061,13,0.78,0.99,358.6,98.8,70.5,0.0043,II,112,23220,0
RB03600,9/24/2025 5:19,Buner Basin Tunnel,Marble,743,107.3,8.2,90.9,2.98,2.79,2.67,0.52,1.09,6.38,0.066,17,0.83,0.97,390.1,104.7,77.9,0.0045,III,81,16630,1
RB04122,11/8/2025 14:15,Sanghar Section 1,Gneiss,892,103.7,8.5,109.7,3.17,2.68,2.57,0.57,1.79,6.37,0.088,19.4,0.93,0.98,419.3,113.7,83.9,0.005,IV,47,8750,2
RB00030,12/11/2025 19:06,Makran Fault Shaft,Limestone,543,125.6,10.8,76.4,3.14,2.78,2.55,0.36,0.81,6.5,0.072,9.4,0.64,1.05,305.5,94.3,74.2,0.004,I,64,20150,2
RB00066,11/22/2025 21:11,Tunnel B-12,Sandstone,535,132.7,10.6,79.9,3.37,2.26,2.71,0.38,1.95,7.28,0.072,10.2,0.66,1.29,306.7,87.7,74,0.0037,I,82,15590,0
RB00839,9/2/2025 3:49,Sanghar Section 1,Dolomite,591,129.9,10.1,79.4,3.23,2.32,2.6,0.34,1.45,6.67,0.089,10.7,0.7,1.02,325.8,93.8,74.3,0.0038,I,265,102720,0
RB03907,6/11/2025 20:13,Balochistan Deep Shaft,Sandstone,817,92.9,9.2,107.2,3.49,2.83,2.59,0.58,1.43,5.73,0.07,19.7,0.9,1.06,442.3,101.9,80.3,0.0049,IV,687,250030,1
RB03774,5/25/2025 8:25,Mansehra Mid Tunnel,Shale,833,91.6,8,102.6,3.65,2.41,2.54,0.55,1.15,5.57,0.074,19.1,0.91,1.2,442.9,100.4,80.1,0.005,IV,204,39510,1
RB04636,7/29/2025 14:14,Dir Valley Route,Andesite,811,101,8.1,102.7,2.98,2.12,2.62,0.59,1.56,6.58,0.086,18.3,0.98,1.25,433.3,101,88,0.0049,IV,198,64200,1
RB03162,12/8/2025 21:39,Reko Diq Zone 3,Andesite,729,106.7,8.1,94.1,3.25,3.44,2.63,0.49,1.98,6.33,0.081,17.6,0.84,1.04,394.1,96.9,75.8,0.0047,III,983,309010,1
RB02660,12/24/2025 12:35,Qasim Tunnel,Basalt,749,109.4,10.4,97.3,3.65,3.05,2.51,0.5,0.99,6.87,0.08,15.2,0.82,1.01,385.8,104.9,82.9,0.0046,III,264,59060,1
RB04616,8/3/2025 0:34,Mine X-Delta,Granite,887,101.8,8.7,108.3,2.6,2.7,2.69,0.54,1.4,6.65,0.071,18.3,0.95,1.29,449.2,101.4,84.2,0.0049,IV,215,66510,1
RB04629,11/12/2025 18:50,Balochistan Deep Shaft,Dolomite,818,98.1,8.7,108.6,2.85,2.46,2.52,0.56,1.68,7.44,0.061,18.9,0.98,1,420.3,108.4,80.6,0.0049,IV,739,248900,1
RB02452,1/19/2025 8:45,Tunnel B-12,Marble,612,120.4,10,85.9,2.68,2.62,2.78,0.47,1.5,7.33,0.087,14.9,0.7,1.28,341.6,90.5,78.8,0.0043,II,186,51620,2
RB02847,9/14/2025 14:49,Makran Fault Shaft,Slate,760,105.7,8.2,90.2,3.69,3.25,2.74,0.5,1.05,7.3,0.08,15.1,0.84,0.95,386,96.2,80.2,0.0047,III,140,45150,0
RB01145,10/28/2025 21:52,Mine X-Delta,Limestone,538,130.7,12.8,74.5,2.88,2.58,2.62,0.37,1,7.01,0.064,8.6,0.66,1.12,322.5,87.8,69.9,0.0037,I,191,60460,1
RB03079,3/26/2025 7:09,Attock Rock Shaft,Shale,715,106.7,8.5,96.8,3.55,2.47,2.58,0.48,1.37,6.91,0.065,17.6,0.87,0.94,395.5,95.5,75.9,0.0046,III,91,18330,1
RB01104,2/25/2025 6:47,Skardu Access Tunnel,Phyllite,556,135.2,12.3,73.6,3.19,2.42,2.67,0.32,1.53,6.75,0.088,9.6,0.63,0.94,323.9,94.7,70.1,0.0037,I,134,50580,2
RB00169,6/12/2025 22:39,Mine X-Delta,Granite,567,135.8,11.9,79.2,3.43,3.17,2.79,0.36,0.97,6.05,0.063,11.6,0.63,1.02,333.1,88.8,72,0.0037,I,767,269070,0
RB01671,1/6/2025 14:50,Khewra Drift,Slate,664,121.7,11.6,85.1,2.59,2.42,2.72,0.41,0.95,6.29,0.079,13.8,0.73,1.01,343.3,91.6,70.3,0.0043,II,171,37360,2
RB02571,6/21/2025 6:34,Buner Basin Tunnel,Basalt,785,105.1,10,93.8,2.91,2.7,2.59,0.49,1.19,5.91,0.084,17.9,0.81,1.03,399.8,96.3,79.7,0.0047,III,975,372770,2
RB02378,3/10/2025 19:31,Sindh Line A,Sandstone,639,123.2,11.2,85.9,2.63,2.24,2.56,0.46,1,5.66,0.087,13.5,0.76,1.27,339.5,95.2,79.7,0.0041,II,203,44180,3
RB04396,11/13/2025 17:25,Attock Rock Shaft,Basalt,897,100.4,8.1,100.6,3.75,2.17,2.63,0.6,1.97,5.56,0.082,19.4,0.96,1.29,420.7,107,81.3,0.0049,IV,138,32070,0
RB04258,7/18/2025 7:16,Reko Diq Zone 3,Basalt,902,93.5,9.8,107.5,3.22,2.82,2.58,0.59,1.01,6.46,0.077,19.7,0.92,0.91,417.6,101,85.8,0.0049,IV,121,31540,2
RB03863,11/4/2025 0:19,Reko Diq Zone 3,Conglomerate,824,93,8,100.2,2.77,2.36,2.52,0.57,1.7,5.82,0.074,19.6,0.99,0.99,418.8,104.7,89.2,0.0048,IV,133,46380,3
RB00024,4/16/2025 22:00,Makran Fault Shaft,Slate,525,133.9,13.2,73.1,3.6,2.55,2.51,0.35,1.43,5.73,0.065,11.1,0.62,1.27,305.2,86.9,74,0.0037,I,78,18160,2
RB02634,8/4/2025 22:39,Dir Valley Route,Marble,737,105.4,8.2,97.8,3.01,2.54,2.56,0.51,0.97,6.35,0.081,15.4,0.87,0.91,380.7,97.4,84.2,0.0045,III,472,147520,2
RB03341,3/1/2025 23:38,Khewra Drift,Basalt,767,113.4,9.5,96.1,3.2,2.46,2.68,0.53,1.88,7.11,0.072,15.4,0.86,0.94,390.2,99.1,79.3,0.0045,III,588,202640,2
RB02216,6/25/2025 0:38,Qasim Tunnel,Shale,674,124.8,11.5,83.7,2.99,3.24,2.67,0.46,1.53,5.97,0.077,12.3,0.74,0.98,349.5,90.4,76.9,0.0045,II,1409,259110,2
RB03683,7/11/2025 17:23,Balochistan Deep Shaft,Conglomerate,750,113.7,9.6,91.2,2.83,2.11,2.76,0.52,1.75,6.15,0.077,16.2,0.89,1.13,377.4,97.2,76,0.0048,III,193,40210,2
RB04725,2/21/2025 4:53,Skardu Access Tunnel,Migmatite,820,97.9,8.8,100.4,2.83,2.29,2.73,0.57,1.84,6.47,0.069,18.3,0.99,1.03,412.6,107.9,80,0.0049,IV,175,59210,3
RB01908,5/19/2025 8:13,Skardu Access Tunnel,Basalt,673,122.7,11.1,86.7,3.25,2.78,2.6,0.43,1.65,6.68,0.077,12.4,0.76,0.9,366.4,93.9,75.9,0.0042,II,1780,590510,3
RB00085,5/28/2025 8:46,Reko Diq Zone 3,Chalk,537,126.5,11.3,73.4,3.37,3.27,2.63,0.31,1.66,7.2,0.067,11,0.69,1,333.5,90.5,72.9,0.0039,I,305,75930,3
RB00228,11/27/2025 19:11,Dir Valley Route,Marble,524,139.7,12.7,75.8,3.61,2.44,2.79,0.34,0.86,5.89,0.068,9.8,0.62,1.17,312,91.9,71.8,0.0039,I,240,73030,3
RB00297,10/25/2025 7:09,Karak Tunnel,Shale,514,131.4,11.4,75.1,3.04,3.42,2.8,0.36,1.61,6.61,0.078,9.6,0.6,1.11,304.1,92.2,71.4,0.0039,I,1068,317360,3
RB01002,10/24/2025 12:59,Gawadar Support Shaft,Basalt,501,131.4,12.2,71.7,3.75,3.05,2.53,0.35,1.14,6.79,0.079,8.1,0.61,1.26,347.6,93.8,72.1,0.0039,I,734,227990,3
RB02139,1/1/2025 16:21,Kohat Underground,Andesite,622,115.3,10.6,85.3,2.51,2.35,2.74,0.46,1.43,7.43,0.082,14,0.74,0.93,331.3,93.6,71.5,0.0041,II,433,96080,3
RB00712,10/7/2025 14:28,Kohat Underground,Gneiss,501,133.6,13.7,78.3,3.68,2.99,2.73,0.39,1.75,7.04,0.069,8.6,0.69,0.96,310,90.3,71.7,0.0038,I,773,210960,0
RB02802,12/28/2025 1:38,Sanghar Section 1,Conglomerate,728,114.6,8.7,90.1,2.87,2.29,2.51,0.51,1.77,5.9,0.076,15.7,0.89,0.91,393,103.8,82.2,0.0045,III,159,24900,1
RB02528,8/31/2025 14:57,Mansehra Mid Tunnel,Gneiss,733,113.5,9.8,93.6,2.69,2.54,2.75,0.5,1.5,7.23,0.074,17.8,0.82,1.25,393,96.9,78.7,0.0046,III,1250,302440,1
RB03753,12/18/2025 1:57,Mine X-Delta,Conglomerate,920,103.5,9.7,107.1,3.61,2.8,2.6,0.54,0.87,6.01,0.074,19.5,0.96,0.94,412.2,108.2,88.8,0.0048,IV,250,46160,1
RB03322,10/15/2025 1:33,Sindh Line A,Andesite,765,111.1,8.3,97.4,2.56,3.25,2.52,0.48,1.19,6.39,0.061,17.4,0.84,1.22,393.5,101.8,81,0.0046,III,1232,436650,1
RB03182,3/8/2025 6:23,Gawadar Support Shaft,Basalt,723,112,10.9,92.2,2.83,2.19,2.57,0.49,1.73,7.38,0.061,17.3,0.87,1.26,397.4,104.9,84.9,0.0047,III,279,58230,1
RB04184,8/23/2025 14:18,Reko Diq Zone 3,Gneiss,926,94.1,9,102.5,2.71,2.1,2.74,0.6,1.4,6.55,0.062,19.9,0.98,1.03,440.4,100.9,85.6,0.0049,IV,222,36380,1
RB01616,12/28/2025 21:52,Sindh Line A,Quartzite,628,124.9,12,88.1,2.71,2.58,2.68,0.46,1.9,7.31,0.081,12.5,0.79,1.12,349.7,93.3,75.9,0.0042,II,644,169370,0
RB03025,5/22/2025 19:25,Punjab Core Tunnel,Migmatite,750,108,9.9,95,3.1,2.39,2.79,0.51,0.85,6.96,0.071,16.7,0.85,0.99,391.9,99.6,75.9,0.0048,III,383,96600,3
RB01414,1/23/2025 11:56,Mansehra Mid Tunnel,Phyllite,696,117.3,11.2,82.1,2.94,2.95,2.54,0.47,1.53,6.55,0.078,12.3,0.71,1.13,337.9,93.4,70.2,0.0043,II,839,233810,1
RB00764,12/2/2025 23:55,Makran Fault Shaft,Limestone,569,134.6,10.6,72.6,3.34,2.17,2.6,0.39,1.05,5.93,0.062,11.7,0.63,1.16,313.7,91.7,69.1,0.0038,I,697,149050,2
RB00656,2/10/2025 19:17,Sanghar Section 1,Granite,546,137.7,10.4,77,2.55,2.48,2.65,0.38,1.63,6.26,0.073,11.3,0.66,1.24,305.8,89.5,74.9,0.0038,I,325,63550,1
RB04798,1/5/2025 2:30,Khewra Drift,Quartzite,903,90.2,9,107.4,2.66,3.33,2.65,0.57,1.38,7.23,0.082,18,0.94,1.26,431.1,105.7,89.4,0.0048,IV,697,194580,0
RB03850,2/22/2025 16:48,Gawadar Support Shaft,Gneiss,805,98.7,7.9,101.8,3.13,2.2,2.56,0.59,1.18,5.84,0.069,19.5,0.95,1.09,416.8,106.8,84.7,0.005,IV,267,46020,0
RB04154,10/15/2025 6:25,Sanghar Section 1,Limestone,935,99.2,7.5,101.6,2.68,2.51,2.7,0.6,1.42,7.42,0.06,19.4,0.99,1.16,433.3,103,81.4,0.0049,IV,331,104390,3
RB00469,4/20/2025 19:00,Mansehra Mid Tunnel,Slate,556,139.8,14,74.6,2.7,2.27,2.7,0.4,1.62,6.66,0.067,10.1,0.69,1.1,330.3,87.9,74.1,0.0037,I,791,285750,1
RB00158,4/18/2025 19:12,Gilgit Drift Alpha,Andesite,583,126.6,12.1,79.3,3.38,2,2.68,0.38,1.07,6.17,0.072,8.2,0.63,0.97,332.8,95,70.8,0.0038,I,106,26510,2
RB01296,10/17/2025 12:48,Mansehra Mid Tunnel,Gneiss,677,119.2,11.1,85.1,3.04,2.77,2.68,0.47,1,7.29,0.064,14.2,0.77,1.26,332.5,99.2,79.7,0.0042,II,120,25580,2
RB00498,6/16/2025 12:30,Dir Valley Route,Shale,553,132.3,10.9,75.4,2.97,2.05,2.61,0.31,1.93,5.77,0.066,8.7,0.65,1.18,313.4,86.8,71.2,0.004,I,916,298230,3
RB04741,12/12/2025 8:13,Karak Tunnel,Andesite,822,94.5,10,108.8,3.66,3.4,2.59,0.55,1.2,6.83,0.068,19.5,0.99,1.06,432.6,112.3,87.7,0.0049,IV,231,39040,2
RB02941,4/20/2025 21:48,Punjab Core Tunnel,Granite,723,109.4,9.6,92.7,3.25,2.17,2.77,0.54,1.5,6.97,0.073,16.1,0.85,1.27,382.5,102,79.5,0.0045,III,182,54990,0
RB03457,12/17/2025 3:27,Qasim Tunnel,Phyllite,778,114.6,9,99.7,3.5,2.18,2.64,0.54,1.11,7.13,0.063,15.8,0.86,0.91,371.7,104.2,79.9,0.0046,III,537,172120,0
RB00374,3/9/2025 20:07,Mansehra Mid Tunnel,Phyllite,518,128.8,13.1,75.9,2.79,2.21,2.6,0.32,1.04,6.17,0.076,8.2,0.65,0.9,339.1,87.8,71.2,0.0035,I,158,25280,0
RB00080,6/24/2025 13:37,Buner Basin Tunnel,Conglomerate,552,130.5,12.8,71.1,3.23,2.77,2.66,0.34,1.32,5.67,0.062,10,0.69,1.07,348.9,88.6,67,0.0038,I,717,270040,2
RB01554,2/3/2025 16:40,Dir Valley Route,Migmatite,663,116.2,9.8,82.1,3.65,2.78,2.74,0.44,1.78,5.76,0.068,14.6,0.78,1.22,349.2,98.2,79.7,0.004,II,132,41120,0
RB01670,11/9/2025 21:55,Mine X-Delta,Basalt,691,121.6,11.3,85.6,3.37,2.51,2.76,0.43,1.12,5.9,0.073,14.5,0.79,1.08,342.8,96.1,71.4,0.0044,II,68,22710,1
RB02132,10/16/2025 11:23,Buner Basin Tunnel,Marble,661,117.7,10.3,86,3.22,2.45,2.55,0.44,0.93,6.63,0.063,12.9,0.71,1.14,338.7,91.6,77,0.0042,II,46,13160,1
RB04440,10/14/2025 17:51,Mansehra Mid Tunnel,Phyllite,839,103.4,9.9,106.4,3.14,2.49,2.61,0.58,1.86,7.44,0.068,18.2,0.97,1.3,445.9,103.3,86.7,0.0049,IV,80,19500,1
RB00466,3/13/2025 15:56,Dir Valley Route,Phyllite,537,129,13.6,75.3,3.23,2.84,2.53,0.31,1.5,6.75,0.069,8.3,0.69,1.13,320.8,90.1,73.3,0.0035,I,53,12970,3
RB00249,4/15/2025 7:57,Thar Block A,Dolomite,556,132,11.5,71.5,3.17,3.07,2.62,0.31,1.33,6.33,0.06,10.8,0.66,0.9,317.7,94.2,72.1,0.0037,I,363,166700,1
RB00932,9/20/2025 9:30,Buner Basin Tunnel,Dolomite,529,134.5,12.5,77.8,2.66,2.49,2.74,0.36,1.34,7.41,0.084,9.6,0.69,1.29,326.7,86.4,66.6,0.0037,I,997,274170,2
RB01336,8/17/2025 13:56,Kohat Underground,Andesite,687,116.6,10.3,81,2.68,3.4,2.76,0.42,1.9,6.44,0.069,13.1,0.77,0.93,365.2,98,70.8,0.0044,II,222,56120,0
RB04525,9/20/2025 2:32,Gawadar Support Shaft,Quartzite,948,91.9,9.1,101.7,3.32,3.48,2.75,0.58,1.85,5.85,0.075,19.6,0.99,1.22,435.8,103.3,89.7,0.0049,IV,717,226790,0
RB01339,4/13/2025 13:01,Karak Tunnel,Marble,642,116.4,11.4,88.6,2.7,3.17,2.75,0.46,1.37,6.61,0.08,13.9,0.77,1.08,354.1,99.2,74,0.0043,II,611,134640,1
RB01407,2/23/2025 6:08,Khewra Drift,Conglomerate,651,115,9.4,83.4,3.77,2.16,2.52,0.43,1.64,5.94,0.09,12.5,0.78,1,345.2,96.1,70.7,0.0044,II,208,49910,2
RB01091,4/21/2025 19:33,Gawadar Support Shaft,Basalt,509,138.1,11.2,72.5,3.13,3.04,2.75,0.37,1.41,7.01,0.083,11.3,0.67,1.03,302,86.6,74,0.0039,I,707,328050,1
RB04210,2/2/2025 8:33,Reko Diq Zone 3,Quartzite,942,103.1,9.8,104.8,3.49,2.5,2.59,0.55,0.9,5.7,0.067,18.3,0.93,0.91,411,103.2,86.1,0.0049,IV,380,140090,1
RB00743,9/29/2025 2:27,Makran Fault Shaft,Slate,520,132,13.6,77.5,3.6,2.67,2.55,0.34,0.9,6.52,0.084,11.9,0.6,1.17,339.3,85.6,66.9,0.0036,I,150,42820,2
RB02324,11/29/2025 17:59,Qasim Tunnel,Conglomerate,608,124.8,9.7,85.4,2.87,2.46,2.73,0.46,1.15,6.59,0.09,13.2,0.74,1.22,352.9,96.8,77.2,0.0042,II,440,157740,1
RB03602,5/14/2025 1:39,Dir Valley Route,Migmatite,748,113.3,10.1,90.9,3.17,2.21,2.73,0.49,1.46,6.15,0.081,17.5,0.8,1.13,394.4,96.2,80.4,0.0047,III,1068,325750,2
RB02124,6/25/2025 4:50,Reko Diq Zone 3,Marble,634,123.5,10.1,88.5,3.74,3.07,2.73,0.41,0.83,5.84,0.081,14,0.74,0.9,368.1,91.9,71.5,0.0044,II,894,300520,1
RB02095,4/7/2025 13:46,Mansehra Mid Tunnel,Phyllite,665,117.3,10.3,82.8,2.6,2.66,2.76,0.41,1.95,5.55,0.071,12.4,0.71,0.93,360.5,98.4,79.7,0.0043,II,1325,465730,1
RB00241,7/10/2025 13:08,Makran Fault Shaft,Andesite,505,126.1,12.7,73.7,2.54,2.41,2.53,0.33,1.18,6.89,0.061,10.6,0.65,0.97,346.9,91.5,66.9,0.0036,I,984,336600,3
RB02352,5/7/2025 16:49,Mine X-Delta,Dolomite,651,116.7,9.2,81.6,2.94,2.55,2.75,0.48,1.71,6.35,0.063,14.3,0.78,1.22,341,99.2,74.9,0.0041,II,263,112300,1
RB01371,7/22/2025 7:44,Kohat Underground,Chalk,658,123.9,9.6,84.1,2.5,3.49,2.54,0.47,1.84,5.66,0.075,14.4,0.75,1.23,330.7,95.3,73.2,0.0042,II,1332,951410,1
RB01058,1/11/2025 12:12,Gilgit Drift Alpha,Marble,582,131.5,11.2,74.6,3.37,2.44,2.66,0.31,0.94,7.35,0.065,11.9,0.63,1.22,340.9,91.9,68.4,0.004,I,476,203850,2
RB04817,4/8/2025 23:54,Balochistan Deep Shaft,Chalk,800,103.9,8.7,103.1,3.21,2.48,2.77,0.57,1.52,5.92,0.081,19.8,0.93,1.18,432.8,110.2,83.5,0.005,IV,1923,715390,0
